id,countries,headline,body,body_word_count,stake_type,role_holder,role_harmed,role_amplifier,mexico_role,vantage,register,forces,note
IE-706,México; Armenia; Macedonia del Norte; San Marino,Una declaración honesta pone a un socio en incumplimiento,"Bajo un tratado que prohíbe las armas nucleares entre sus miembros, cada uno de ellos debe declarar todo material que pudiera usarse para construir un arma, con tres semanas restantes para presentarlo. Armenia ya ha presentado su declaración y sus cifras son públicas. Las existencias de México incluyen material entregado hace años por Macedonia del Norte, que nunca reportó la transferencia y ahora quiere que se registre como fabricado en México. Declararlo honestamente pone a Macedonia del Norte en incumplimiento. Declararlo como se solicita pone a México en incumplimiento. San Marino verifica las declaraciones y publicará cualquier discrepancia entre las cifras de dos miembros sin pedir a ninguno que se explique.",100,cronología / secuencia,San Marino (verifica declaraciones y publica discrepancias),"la credibilidad del tratado, y cualquier miembro que se encuentre en incumplimiento",Macedonia del Norte (su solicitud impone la elección a México),atrapado en medio (una declaración honesta expone a su socio; la solicitada se expone a sí mismo),inminente,contrafactual,armas nucleares; alianzas militares,Contrafactual. Los plazos de declaración y los organismos de verificación que publican discrepancias son mecánicas reales de tratados; la transferencia histórica no declarada es inventada. El término 'material utilizable para armas' fue reemplazado por una descripción simple. México entra en la tercera oración y no la cierra.
IE-628,México; Turquía; Colombia; Suecia,Una especificación de cemento aprueba edificios que no deberían mantenerse en pie,"El ministerio de construcción de México ha impulsado una especificación de cemento hacia un código internacional ampliamente utilizado, y la especificación permite una proporción de relleno que debilita las estructuras bajo carga sostenida. Turquía adoptó el código y desde entonces ha tenido dos edificios de mediana altura colapsar parcialmente, matando a residentes. Colombia rechazó el código y exige su propia mezcla más estricta, y sus constructores ahora enfrentan costos más altos al competir contra empresas turcas que construyen bajo el estándar más barato. Colombia dice que Turquía tomó a sabiendas la ruta más barata. Turquía dice que Colombia presionó a favor de su propia industria cementera, no por seguridad. El organismo de ingeniería de Suecia ha procedido a suspender todo el código en espera de una revisión.",100,fijación de normas,México (redactó la especificación débil),"Turquía (colapsos de edificios, muertes de residentes)",Suecia (procede a suspender todo el código),motor principal (su propia especificación permite la proporción de relleno que debilita),en desarrollo,fundamentado,infraestructura; fijación de normas; comercio y transporte marítimo,Fundamentado. Las especificaciones de materiales impulsadas por costos que debilitan los códigos de construcción son un patrón real y documentado. Prueba de cuatro vías: Colombia y Turquía se acusan directamente de mala fe. No geográfico: los códigos de construcción se adoptan internacionalmente.
IE-070,México; Islandia; Noruega; Canadá,Una nueva isla volcánica desata una carrera de reclamos,"Una erupción volcánica ha creado una isla enteramente nueva en el Atlántico Norte, y nadie está seguro de a quién pertenece legalmente. Islandia la reclama como una extensión natural de su propia plataforma continental; Noruega disputa la línea de base de la que depende ese reclamo; Canadá observa de cerca el precedente que sentará en el Ártico. El argumento del país que gane remodelará las fronteras oceánicas en todo el mundo. México encabeza el grupo internacional encargado de fallar en el caso, sopesando una decisión sobre una nueva isla a miles de kilómetros de distancia mientras islas volcánicas similares ya emergen, sin reclamar, en sus propias aguas.",97,precedente,México (preside el grupo de fallo),(difuso: las normas de reclamo de todos los Estados costeros),Noruega y Canadá (intereses colaterales de línea de base/Ártico),árbitro con exposición propia,inminente,contrafactual,control territorial y soberanía; energía; espacio exterior y dominio orbital,"Contrafactual con tendencia a fundamentado. Sí se forman nuevas islas volcánicas (Surtsey, 1963), y las normas de línea de base/plataforma de la CONVEMAR son reales y disputadas en el Ártico; la isla específica y su precedente mundial son inventados. (Fuerzas corregidas: territorial; energía; medio ambiente.)"
IE-701,México; República Dominicana; Santa Lucía; San Vicente y las Granadinas,Quien reconstruya primero se queda con la tierra,"En la República Dominicana, una norma aprobada tras una tormenta importante otorgó tierra a quien reconstruyera una casa destruida dentro de dos años. Familias mexicanas que llegaron como jornaleros reconstruyeron cientos de lotes y ahora los poseen por completo. Ciudadanos de Santa Lucía eran dueños de muchos de esos lotes y trabajaban en el extranjero cuando venció el plazo. La República Dominicana no deshará una transferencia ya completada, diciendo que de otro modo nada se habría reconstruido. San Vicente y las Granadinas se niega a reconocer cualquier título de propiedad otorgado de esta manera, lo cual ha congelado toda venta donde el propietario vivía en el extranjero. Compradores en las tres islas ahora se están retirando.",102,precedente,"República Dominicana (aprobó la norma, se niega a deshacer las transferencias)",propietarios de Santa Lucía que perdieron tierra mientras trabajaban en el extranjero,San Vicente y las Granadinas (el no reconocimiento congeló el mercado),motor principal (sus propias familias poseen la tierra que la norma transfirió),secuelas,fundamentado,crisis de vivienda; migración,"Fundamentado. Las normas que premian la reconstrucción sobre la propiedad previa, y los propietarios en el extranjero que pierden plazos, son patrones reales posteriores a tormentas. Ubicación nombrada en la primera oración. México entra en la segunda oración, no la cierra, y su interés es material y no de custodia."
IE-707,México; Maldivas; Mozambique; Palestina,"Una tripulante analizada, otra dejada sin saber","Una tripulante regresó de un largo vuelo espacial con un cambio en sus genes que los médicos creen que podría transmitir a sus hijos. Maldivas, su país, dice que sus registros médicos le pertenecen solo a ella y ha bloqueado toda solicitud de acceso a ellos. México envió a una segunda tripulante en el mismo vuelo y no puede saber si tiene el mismo cambio, porque la comparación necesita esos registros bloqueados. Mozambique pagó por el programa de biología y reclama la propiedad de todos los hallazgos. El laboratorio de Palestina analizó a ambas tripulaciones y no divulgará nada hasta que se resuelva la propiedad. Mozambique se ha movido para bloquear incluso un solo resultado.",104,control de un objeto,"Palestina (analizó a ambas tripulaciones, no divulga nada)","la tripulante de México, sin analizar y sin asesoramiento sobre su propia salud",Mozambique (bloquea incluso la divulgación de un solo resultado),espectador perjudicado (su propia tripulante no puede conocer su propio resultado),en desarrollo,surrealista,exploración espacial; medicina,"Surrealista. Los vuelos espaciales alteran la actividad genética y la propiedad de los datos de la misión está genuinamente disputada entre tripulación, financiador y laboratorio; que un cambio se transmita a los hijos es el paso inventado. Los términos 'hereditario' y 'secuenciado' fueron reemplazados por lenguaje simple. México entra en la tercera oración y no la cierra."
IE-041,México; Corea del Norte; República de Corea; Suiza,Un acuerdo de desarme se congela por saber quién se mueve primero,"Un plan paso a paso para eliminar las armas nucleares de Corea del Norte se ha estancado por completo por saber quién actúa primero: el Norte exige que se levanten las sanciones antes de desmantelar una sola arma, mientras el Sur exige pruebas de que las armas han desaparecido antes de otorgar cualquier alivio. Suiza mantiene el alivio de sanciones en fideicomiso y solo lo entregará ante una señal que ninguno de los dos bandos quiere ser el primero en enviar. México encabeza la comisión de inspección y debe confirmar oficialmente el paso inicial, sabiendo que el bando que se mueva primero queda peligrosamente expuesto si el otro luego incumple su palabra.",98,cronología / secuencia,Corea del Norte y la República de Corea (cada una asume el riesgo de mover primero),Suiza (fideicomiso suspendido),México (presidencia de verificación presionada para fijar el orden),árbitro,inminente,contrafactual,materiales nucleares y proliferación; alianzas militares y defensa; deuda y finanzas,"Contrafactual. La desconfianza sobre la secuencia, el alivio de sanciones en fideicomiso, y el estancamiento entre verificar primero o aliviar primero son la mecánica real de toda negociación de congelación (JCPOA, conversaciones coreanas). El acuerdo específico es inventado."
IE-220,México; Lesoto; Sudáfrica; Esuatini,Una disputa de regla de origen textil destripa una economía diminuta,"Una regla comercial exige que las prendas estén hechas enteramente de tela regional para entrar libre de aranceles a un mercado rico, y una auditoría alega que las fábricas de Lesoto usaron tela importada prohibida, amenazando gravemente sus exportaciones de ropa y miles de empleos. Sudáfrica, la supuesta fuente de la tela, niega que la tela fuera alguna vez extranjera; Esuatini, en el mismo programa comercial, teme que su propia auditoría venga después. Las propias fábricas textiles de México compiten directamente con las fábricas de Lesoto por ese mismo mercado libre de aranceles, y están financiando discretamente la continuación de la auditoría entre bastidores, con la esperanza de que un hallazgo contra Lesoto despeje espacio para que las prendas mexicanas lo llenen en su lugar.",102,pureza / contaminación,México (posee los registros de origen),Lesoto (exportaciones de ropa y empleos),Esuatini (temiendo su propia auditoría),medio: cómplice (financia discretamente la auditoría que podría despejar espacio para sus propias exportaciones),en desarrollo,fundamentado,comercio y transporte marítimo; fijación de normas; deuda y finanzas,"Fundamentado. La verdadera dependencia de exportación de ropa de Lesoto del acceso libre de aranceles de la AGOA, los requisitos de regla de origen/tela, y el abastecimiento textil regional están documentados. Solo el inspector mexicano es inventado."
IE-653,México; Japón; Liberia; Vanuatu,Ochenta buques cambian de bandera y una cifra nacional cae,"Las emisiones del transporte marítimo internacional se contabilizan contra el país al que esté abanderado un buque, y el registro de México ha añadido una exención para una nueva categoría de embarcación que creó él mismo. Las navieras de Japón han cambiado de bandera a ochenta buques hacia México, y las emisiones nacionales reportadas de Japón han caído en consecuencia. Vanuatu dice que las emisiones no han cambiado en absoluto, solo en cuyo libro contable se registran, mientras la subida del nivel del mar sigue arrebatándole su costa. Liberia compite por el mismo negocio de registro, perdió esos ochenta buques, y ha publicado el texto completo de la exención. México dice que la categoría es legal y que el interés de Liberia en ella es puramente comercial.",101,reconocimiento / legitimidad,México (redactó la exención del registro),Vanuatu (la pérdida de costa continúa mientras las cifras parecen caer),Liberia (expone la exención por razones comerciales más que climáticas),cómplice (creó la exención que hace desaparecer las emisiones sobre el papel),en desarrollo,fundamentado,cambio climático; comercio y transporte marítimo,"Fundamentado. La atribución por Estado de bandera de las emisiones del transporte marítimo y la competencia entre registros son reales, y cambiar de bandera para reducir los totales nacionales reportados es una laguna reconocida. Prueba de cuatro vías: Japón se beneficia de la exención que perjudica a Vanuatu, y el motivo de Liberia para exponerla es la rivalidad comercial, lo cual contrasta con la objeción de principios de Vanuatu. No geográfico: los registros de buques no tienen relación con la proximidad."
IE-649,México; España; Guinea Ecuatorial; Nigeria,Un respaldo escrito para antiguos gobernantes es calificado de extralimitación,"Un esquema de garantía obliga a las antiguas potencias administradoras a respaldar la deuda soberana de los Estados que alguna vez gobernaron. España es el garante designado de Guinea Ecuatorial y se ha negado a honrarlo, calificando la obligación de extralimitación retroactiva. El impago resultante de Guinea Ecuatorial ha congelado un programa de construcción de hospitales y escuelas a medio construir. México posee los bonos en impago y los compró baratos precisamente porque el respaldo de España los hacía parecer seguros. Nigeria, cuyo propio respaldo lo tiene un Estado diferente que observa de cerca, dice que la negativa de España anularía toda garantía del esquema. México presiona por el cumplimiento mientras compra discretamente más deuda en dificultades de otros dos Estados cubiertos.",102,obligación de actuar,España (mantiene la obligación de respaldo repudiada),Guinea Ecuatorial (construcción de hospital y escuela congelada),Nigeria (la validez de su propio respaldo depende de esto),cómplice (lucra con el colapso del esquema mientras exige su cumplimiento),en desarrollo,contrafactual,deuda y finanzas; reconocimiento y legitimidad,"Contrafactual. Los esquemas de garantía de responsabilidad histórica y su repudio reflejan debates reales sobre las obligaciones de la era colonial. Matiz de alianza: la responsabilidad formal de España hacia un Estado que alguna vez gobernó es la relación que sostiene el caso. No geográfico: las obligaciones de garantía son legales, no de proximidad."
IE-640,México; Tuvalu; Australia; Letonia,Un umbral de residencia pondría fin a la condición de Estado y abriría sus aguas,"Se está redactando un fallo sobre si un Estado conserva su soberanía después de que su territorio se vuelve inhabitable, y México ha propuesto que el reconocimiento caduque una vez que la residencia permanente caiga por debajo de un umbral fijo. La propia propuesta de México le permitiría reclamar derechos de pesca en aguas que actualmente poseen tres Estados en vías de desaparición. Tuvalu dice que el umbral fue elegido para despojarlo específicamente. Australia, que alberga a la mayoría de la población reubicada de Tuvalu, heredaría la carga administrativa sin los derechos marítimos, y se opone a la propuesta por esa razón más que por principio. Letonia dice que la objeción de Australia es interesada y no debería pesar más que la de México.",99,reconocimiento / legitimidad,México (redactó la propuesta de umbral),Tuvalu (condición de Estado y aguas en juego),"Letonia (desacredita los motivos de Australia, no los de México)",motor principal (su propio reclamo de derechos de pesca es lo que la propuesta desbloquearía),en desarrollo,surrealista,cambio climático; control territorial y soberanía,"Surrealista. La persistencia de la condición de Estado tras la pérdida territorial es una cuestión legal genuinamente sin resolver (cf. el trabajo de nación digital de Tuvalu); el mecanismo del umbral de residencia es inventado. Prueba de cuatro vías: Letonia ataca los motivos de Australia, no los de México; Australia admite su interés propio. No geográfico: la doctrina de soberanía se decide en el derecho internacional, no por proximidad. Fuerzas elegidas deliberadamente entre las ausentes en IE-616 a IE-635."
IE-664,México; Irlanda; Sudáfrica; Japón,Un programa de fijación de precios sincroniza los aumentos de renta con datos de llegada,"Un programa de fijación de rentas usado por arrendadores en cuatro países recomienda aumentos sincronizándolos con datos de llegada de inmigrantes, y las rentas han subido más rápido donde se concentran las llegadas. La autoridad de competencia de México autorizó el programa como análisis lícito y no como coordinación de precios. Irlanda lo ha prohibido por completo y está procesando a su desarrollador. El regulador de Sudáfrica lo permitió explícitamente basándose en la autorización de México, y las tasas de desalojo en dos de sus ciudades se han duplicado desde entonces. El desarrollador de Japón cita la autorización mexicana como su defensa central en el caso irlandés. Irlanda dice que el razonamiento de México nunca se publicó en su totalidad.",96,fijación de normas,La autoridad de competencia de México (su autorización es el escudo),inquilinos que enfrentan tasas de desalojo duplicadas en dos ciudades sudafricanas,El desarrollador de Japón (usa la autorización de México como su defensa contra Irlanda),cómplice (su autorización no publicada es lo que mantiene el programa legal en otros lugares),en desarrollo,contrafactual,migración y desplazamiento; tecnología y fijación de normas,"Contrafactual. El software de fijación algorítmica de rentas y las acciones antimonopolio en su contra son reales y están vigentes; sincronizar los aumentos con datos de llegada de inmigrantes es el paso inventado. Prueba de cuatro vías: Irlanda procesa al desarrollador de Japón, y el regulador de Sudáfrica se basó en la autorización de México de forma independiente. No geográfico: la concesión de licencias de software y las autorizaciones de competencia son institucionales."
IE-728,México; Líbano; Turkmenistán; Costa Rica,Una grabación fabricada termina las negociaciones antes de ser descubierta,"Una grabación de un ministro de asuntos exteriores aceptando abandonar un reclamo fronterizo resultó ser fabricada, pero solo después de que el tratado que descarriló fuera abandonado. El ministro de Líbano era la voz en ella y dice que una corrección no puede deshacer lo que la grabación ya hizo. El laboratorio de México había confirmado la grabación como genuina usando una prueba sobre la que se le advirtió un año antes, y decirlo ahora reabriría todos los demás casos que ha certificado. Turkmenistán abandonó el tratado con base en esa confirmación y no regresará. Costa Rica medió las negociaciones y quiere que se publiquen íntegramente los resultados de la prueba.",102,atribución / culpa,El laboratorio de México (confirmó la grabación como genuina),el ministro de Líbano y el tratado abandonado,Turkmenistán (se niega a regresar sin importar la corrección),atrapado en medio (admitir que la prueba no era confiable reabre todos los casos que ha certificado),secuelas,contrafactual,IA; gobernanza moral,"Contrafactual. El audio fabricado y la dificultad de verificarlo son reales, al igual que el problema de un método forense que falla después de haber certificado muchos casos. México entra en la tercera oración y no la cierra."
IE-483,México; Surinam; Baréin; Mongolia,Un registro de destrucción resulta enumerar tambores ya vacíos,"Un tratado exigía que cuatro países destruyeran una reserva compartida de un pesticida prohibido en un orden fijo, de modo que ningún país solo pudiera afirmar haber ido primero y usar la demora para seguir fabricándolo discretamente. México fue segundo, según lo programado, pero su registro de destrucción se descubrió después que enumeraba tambores que ya estaban vacíos. Surinam, que fue tercero confiando en el informe de México, ahora no puede probar que su propia destrucción no estuviera igualmente inflada. Baréin, el último en la fila, ha detenido por completo su propio proceso en espera de un reconteo independiente. Los inspectores de Mongolia, contratados para verificar a los cuatro, dicen que los tambores no pueden recontarse una vez destruidos.",103,cronología / secuencia,Mongolia (inspecciona y verifica a los cuatro),Surinam (su propio cumplimiento ahora no puede probarse),Baréin (detiene su propio proceso ante el descubrimiento),cómplice (falsificó su propio registro de destrucción),secuelas,surrealista,materiales nucleares y proliferación; reconocimiento y legitimidad,Surrealista con tendencia a contrafactual. La verificación de destrucción por fases es un mecanismo real de control de armamentos (cf. las convenciones sobre armas químicas); el registro falsificado y el problema del reconteo irreversible son inventados.
